mode,para_id,en,rep,span,span_why,aligned_grade,aligned_level,aligned_hit,contains_hit,decoy,followed_decoy
none,P013,dilation of intestine,창자 확장,장관 확장,ok,오답,-,False,False,,
none,P013,myoclonia fibrillaris multiplex,다발잔떨림근대성대발작,다발성 섬유성 근간대성 수축,ok,오답,-,False,False,,
none,P013,gitelman syndrome,지텔만 증후군,지텔만 증후군,ok,정답(대표),exact,True,True,,
none,P014,source qi,원기,원기,ok,정답(대표),exact,True,True,,
none,P014,hyperlipidaemia,고지혈증,고지질혈증,ok,오답,-,False,False,,
none,P014,ladder splint,사다리형덧대,사다리 부목,ok,오답,-,False,False,,
none,P015,dermatopathic lymphadenopathy,피부병림프절병(증),피부병성 림프절종,ok,오답,-,False,False,,
none,P015,oil red,오일레드,oil red,ok,오답,-,False,False,,
none,P015,defervescence,해열,해열,ok,정답(대표),exact,True,True,,
none,P016,intracranial space-occupying lesion,두개내공간점유병변,두개강 내 공간 점유 병변,ok,오답,-,False,False,,
none,P016,picture frustration test,그림좌절검사,그림 좌절 검사,ok,정답(대표),variant,True,True,,
none,P016,pyroglyphidae,집먼지진드기(과),비로그립파에대과,ok,오답,-,False,False,,
none,P017,dorsal vein arterialization,배측 정맥 동맥혈화,족배동맥화,ok,오답,-,False,False,,
none,P017,macrocephalus,큰머리증,대두증,ok,정답(동의어),exact,True,True,,
none,P017,aqueous fluid,방수,방수,ok,정답(대표),exact,True,True,,
none,P018,colon cecum mass,막창자 종괴,결장 맹관 종괴,ok,오답,-,False,False,,
none,P018,cyematocardia,태아심음,cyematocardia,ok,오답,-,False,False,,
none,P018,dyskeratosis congenita,선천 이상각화증,이형각화증 congenita,ok,오답,-,False,False,,
none,P019,supernumeric impacted tooth,과잉매복치,과잉 매복치,ok,정답(대표),variant,True,True,,
none,P019,biopsy of cul-de-sac,막힌주머니 생검,자궁직장와(Cul-de-sac) 생검,ok,오답,-,False,False,,
none,P019,gantry,갠트리,회전기,ok,오답,-,False,False,,
none,P020,onychopathy,손발톱병(증),조갑 병변,ok,오답,-,False,False,,
none,P020,intermetatarsal joint structure,발허리간관절조직,중족간 관절 구조,ok,오답,-,False,False,,
none,P021,sex cord-stromal tumor,성끈기질종양,성샘-기질 종양,ok,오답,-,False,False,,
none,P021,cardiac murmur,심잡음,심잡음,ok,정답(대표),exact,True,True,,
none,P021,coupling color,커플링염료,커플링 컬러,ok,오답,-,False,False,,
none,P022,clostridium histolyticum,클로스트리듐히스톨리티쿰,클로스트리듐 히스톨리티쿰,ok,정답(대표),variant,True,True,,
none,P022,total lipodystrophy,전체 지방영양장애,전신 지방이영양증,ok,오답,-,False,False,,
none,P022,ulceroglandular tularaemia,궤양림프절야생토끼병,궤선형 야토병,ok,오답,-,False,False,,
none,P023,open-chain compound,열린사슬화합물,개방형 사슬 화합물,ok,오답,-,False,False,,
none,P023,z-plasty,Z성형(술),Z-성형술,ok,오답,-,False,False,,
none,P023,isosorbide,이소소르바이드,이소소르비드,ok,오답,-,False,False,,
none,P024,intramuscular nerve stimulation,근육내신경자극치료,근육내 신경 자극,ok,오답,-,False,False,,
none,P024,developmental retardation child,발달 부진아,발달 지연 아동,ok,오답,-,False,False,,
none,P024,holoparasite,완전기생체,홀로기생충,ok,오답,-,False,False,,
none,P025,instep island flap,안쪽발바닥섬피판,족내측 종피판,ok,오답,-,False,False,,
none,P025,shifting reaction,편위반응,경미한 반응,ok,오답,-,False,False,,
none,P025,membranous endometritis,막자궁내막염,막성 자궁내막염,ok,오답,-,False,False,,
none,P026,phosphene,섬광시,인광 현상,ok,오답,-,False,False,,
none,P026,odontoprisis,이갈기,치아 마모증,ok,오답,-,False,False,,
none,P026,cardiography,심장도검사,심전도 검사,ok,오답,-,False,False,,
none,P027,transistor hearing aid,트랜지스터보청기,트랜지스터 보청기,ok,정답(대표),variant,True,True,,
none,P027,phlebitis and thrombophlebitis,정맥염 및 혈전정맥염,정맥염 및 혈전성 정맥염,ok,오답,-,False,False,,
none,P027,urethroscopic surgery,요도경하 수술,요도내시경 수술,ok,오답,-,False,False,,
none,P028,epidural nerve block,경막외 신경차단술,경막외 신경차단술,ok,정답(대표),exact,True,True,,
none,P028,ataxic hemiparesis,실조성반부전마비,운동실조성 편마비,ok,오답,-,False,False,,
none,P028,organoid tumor,장기모양종양,기관양 종양,ok,오답,-,False,False,,
none,P029,sclerosing retroperitonitis,경화뒤배막염,경화성 후복막염,ok,오답,-,False,False,,
none,P029,plate,평판,지지 판,ok,오답,-,False,True,,
none,P030,acropathy,말단병(증),말초병증,ok,오답,-,False,False,,
none,P030,uncoupling,결합저지,언커플링,ok,오답,-,False,False,,
none,P030,cyst of prostate,전립샘 낭,전립선 낭종,ok,정답(동의어),partial,True,True,,
none,P031,chorea gravidarum,임신무도병,임신성 무도증,ok,오답,-,False,False,,
none,P031,clay stool,회색변,점토색 변,ok,오답,-,False,False,,
none,P031,gorei-san,오령산,gorei-san,ok,오답,-,False,True,,
none,P032,graves' ophthalmopathy,그레이브스 눈병증,그레이브스 안병증,ok,오답,-,False,False,,
none,P032,non-exudative,삼출되지않은,비삼출성,ok,오답,-,False,False,,
none,P032,endolymphatic duct,속림프관,내림프관,ok,정답(동의어),exact,True,True,,
none,P033,arsenic mirror,코거울,비소 거울,ok,오답,-,False,False,,
none,P033,supporting spiritual rituals,영적의식 지지하기,영적 의식을 지원하는,ok,오답,-,False,False,,
none,P033,muscular atrophy,근위축,근위축,ok,정답(대표),exact,True,True,,
none,P034,spondylopathy,척추병(증),척추증,ok,오답,-,False,False,,
none,P034,thyroidea ima artery,맨아래갑상동맥,하갑상동맥,ok,오답,-,False,False,,
none,P034,orthognathic surgery,악교정수술,악교정술,ok,오답,-,False,False,,
none,P035,lcp disease,넙다리뼈머리뼈끝뼈연골증,레그-칼베-페르테스병(LCP disease),ok,정답(동의어),partial,True,True,,
none,P035,deforming dorsopathies,변형성 등병증,변형성 등 질환,ok,오답,-,False,False,,
none,P035,bacteriocin,박테리오신,박테리오신,ok,정답(대표),exact,True,True,,
none,P036,thoracalgia,흉통,흉통,ok,정답(대표),exact,True,True,,
none,P036,delay procedure,지연처치,시술을 연기,ok,오답,-,False,False,,
none,P036,tricephalus,세머리태아,삼두,ok,오답,-,False,False,,
none,P037,supraclavicular approach,빗장위접근법,쇄골상 접근법,ok,정답(동의어),variant,True,True,,
none,P037,eosinophilic non-allergic rhinitis,호산성 비알레르기성 비염,호산구성 비알레르기성 비염,ok,오답,-,False,False,,
none,P037,papilloma of cerviv,자궁경부의 유두종,자궁경부 유두종,ok,오답,-,False,False,,
none,P038,hypothalamic-pituitary-adrenal axis,시상하부-뇌하수체-부신축,시상하부-뇌하수체-부신 축,ok,정답(대표),variant,True,True,,
none,P038,androgenic alopecia,안드로젠탈모증,남성형 탈모,ok,오답,-,False,False,,
none,P038,halmatogenesis,돌연세대변이,조혈,ok,오답,-,False,False,,
none,P039,isomaltase,이소말타아제,이말타아제,ok,오답,-,False,False,,
none,P039,postprocedural subglottic stenosis,처치후 성문하협착,시술 후 성문하 협착,ok,오답,-,False,False,,
none,P039,acclimation fever,순화열,순응열,ok,오답,-,False,False,,
none,P040,intromission,삽입,삽입,ok,정답(대표),exact,True,True,,
none,P040,microlymphatic graft,미세림프절이식,미세 림프계 이식,ok,오답,-,False,False,,
none,P040,lenticonus,원뿔수정체,렌티코누스,ok,오답,-,False,False,,
none,P041,metagonimus yokogawai,요코가와흡충,요코가와이흡충,ok,오답,-,False,False,,
none,P041,enema apparatus,관장기,관장 기구,ok,정답(대표),partial,True,True,,
none,P041,rash purpuric,자색반 발진,자반성 발진,ok,오답,-,False,False,,
none,P042,factor viii,제8인자,제 8 인자,ok_nospace,정답(대표),variant,True,True,,
none,P042,bony excrescence,뼈이상돌출,골성 돌기,ok,오답,-,False,False,,
none,P042,biopsy of adenoid,인두편도 생검,아데노이드 조직 생검,ok,오답,-,False,False,,
none,P043,undercorrection,부족교정,교정이 부족했을,ok,오답,-,False,False,,
none,P043,transluminal coronary atherectomy,내강경유 심장혈관 죽종절제,경관경 관상동맥 죽상반제거술,ok,오답,-,False,False,,
none,P043,stump hallucination,절단끝환각,단지 환각,ok,오답,-,False,False,,
none,P044,proenzyme,풋효소,프로효소,ok,오답,-,False,False,,
none,P044,traveling clinic,이동진료소,이동 순회 진료소,ok,오답,-,False,False,,
none,P044,pallister-killian syndrome,팰리스터-킬리언 증후군,팔리스터-킬리안 증후군,ok,정답(동의어),exact,True,True,,
none,P045,leukokeratosis nicotina palati,구개 니코틴성 백색각화증,담배성 구개 각화증,ok,오답,-,False,False,,
none,P045,monorchidism,홑고환증,단고환증,ok,오답,-,False,False,,
none,P045,steatocystoma,피지낭종,지방낭종,ok,오답,-,False,False,,
none,P046,vaginal discharge,대하,질 분비물,ok,오답,-,False,False,,
none,P046,posterior thoracic fusion,뒷쪽 가슴척추 유합,후방 흉추 융합술,ok,오답,-,False,False,,
none,P046,sucking disc,흉반,흡반,ok,정답(동의어),exact,True,True,,
none,P047,rectal,곧창자-,직장,ok,오답,-,False,False,,
none,P047,pyrexia during labour,출산중 발열,,not_substring,미검출,-,False,False,,
none,P047,genital infection fungal,생식 기관 곰팡이 감염,진균성 기원의 생식기 감염,ok,오답,-,False,False,,
none,P048,dense deposit disease,고밀도침착병,침착질환,ok,오답,-,False,False,,
none,P048,endoscopic transmyocardial revascularization,내시경 이용 심근경유 혈관 재형성,내시경적 경심근 혈관재건술,ok,오답,-,False,False,,
none,P048,vasectomy seekers,정관절제술탐침,정관수술 대상자,ok,오답,-,False,False,,
none,P049,convalescence following chemotherapy,화학요법후 회복기,항암화학요법 이후의 긴 회복 기간,ok,오답,-,False,False,,
none,P049,apneustic respiration,지속흡입호흡,무호흡성 호흡,ok,오답,-,False,False,,
none,P049,carpometacarpal joint structure,손목손허리관절,수근중수골 관절 구조,ok,오답,-,False,False,,
none,P050,window defect,창문비침,창문 결손,ok,오답,-,False,False,,
none,P050,metathalamus,시상후부,후시상부,ok,오답,-,False,False,,
none,P050,patent medicine,특허약,처방약 제제,ok,오답,-,False,False,,
none,P051,pulex,벼룩(속),벼룩,ok,정답(대표),variant,True,False,,
none,P051,genu valgum,외반슬,슬관절 외반,ok,오답,-,False,False,,
none,P051,thymopoietin,티모포이에틴,티모포이에틴,ok,정답(대표),exact,True,True,,
none,P052,arthroscopic menisectomy,관절경 이용 초승달 절제,관절경적 반월상연골절제술,ok,오답,-,False,False,,
none,P052,heart rate variability,심박변이도,심박수 변이도,ok,오답,-,False,False,,
none,P052,subretinal,망막밑-,막하,ok,오답,-,False,False,,
none,P053,waveform,파형,파형,ok,정답(대표),exact,True,True,,
none,P053,closed reduction,비개방정복(술),폐쇄적 정복,ok,오답,-,False,False,,
none,P053,pilomatrixoma,털바탕질종,모낭기질종,ok,오답,-,False,False,,
none,P054,prostatodynia,전립샘통증,전립선통,ok,오답,-,False,False,,
none,P054,uropoiesis,요생산,요형성,ok,오답,-,False,False,,
none,P055,schistocephalus,머리갈림태아,흡충류(schistocephalus),ok,오답,-,False,False,,
none,P055,modified norwood operation,수정된 노우드수술,변형 노우드 수술,ok,오답,-,False,False,,
none,P055,peptonization,펩톤화,펩톤화,ok,정답(대표),exact,True,True,,
none,P056,apoplectic coma,중풍혼수,뇌졸중성 혼수 상태,ok,오답,-,False,False,,
none,P056,atrioventricular septal defect,심방실중격결손,방실 중격 결손,ok,오답,-,False,False,,
none,P056,assess hospice,호스피스 사정,호스피스를 가장 적절한 다음 단계로 평가하기로,ok,오답,-,False,False,,
none,P057,continuous,연속-,지속적인,ok,정답(동의어),partial,True,False,,
none,P057,zoe filling,치아진정처치,산화아연유지놀(ZOE) 충전재,ok,오답,-,False,False,,
none,P057,oxidizing color,산화염료,산화로 인한 색조 변화,ok,오답,-,False,False,,
none,P058,hammerhead ribozyme,망치머리형리보자임,해머헤드 리보자임,ok,오답,-,False,False,,
none,P058,infanthood,영아기,영아기,ok,정답(대표),exact,True,True,,
none,P059,ulcerlike nud,궤양성 비궤양성 소화불량,궤양양 결절,ok,오답,-,False,False,,
none,P059,gwollyo,관료(顴髎),괄요,ok,오답,-,False,False,,
none,P059,double bladder,중복방광,이중 방광,ok,오답,-,False,False,,
none,P060,auriculotemporal nerve,귓바퀴관자신경,이두신경,ok,오답,-,False,False,,
none,P060,annulospiral ending,고리나선신경종말,환상나선종말,ok,오답,-,False,False,,
none,P060,ascending arm venography,상지-상행적상지정맥,상행 상지 정맥조영술,ok,오답,-,False,False,,
none,P061,epidermophyton,표피사상균(속),표피균,ok,오답,-,False,False,,
none,P061,tubal tonsil,귀인두관편도,이관 편도,ok,오답,-,False,False,,
none,P061,single-step growth curve,일회증식곡선,단일 단계 성장 곡선,ok,오답,-,False,False,,
none,P062,antineutrophil cytoplasmic antibody,항중성구세포질항체,항호중구 세포질 항체,ok,오답,-,False,False,,
none,P062,pharyngoparalysis,인두마비,인두마비,ok,정답(대표),exact,True,True,,
none,P062,vasa previa,전치 맥관,전치혈관,ok,오답,-,False,False,,
none,P063,tzanck smear test,장크도말검사,Tzanck 도말 검사,ok,오답,-,False,False,,
none,P063,ecdysis,허물벗기,탈피,ok,정답(동의어),exact,True,True,,
none,P063,major amblyoscope,대형 약시경,대형 암실시계,ok,오답,-,False,False,,
none,P064,closed approach,폐쇄방법,폐쇄적 접근법,ok,오답,-,False,False,,
none,P064,thyroid notch,방패패임,갑상연골절흠,ok,오답,-,False,False,,
none,P064,intraocular,안구내-,안내,ok,오답,-,False,False,,
none,P065,precipitate labor,급속 분만,급속 분만,ok,정답(대표),exact,True,True,,
none,P065,dental granuloma,뿌리끝육아종,치아 육아종,ok,오답,-,False,False,,
none,P065,rickets of prematurity,미숙아의 구루병,미숙아 구루병,ok,오답,-,False,False,,
none,P066,frontosphenoesthmoidectomy,이마나비사골동절제술,접형사골절제술,ok,오답,-,False,False,,
none,P066,poor sucking reflex,빨기 반사 어려움,빨기 반사 저하,ok,오답,-,False,False,,
none,P066,assessing waste service,쓰레기처리 능력 사정하기,폐기물 처리 규정 평가,ok,오답,-,False,False,,
none,P067,epiduroscopic neuroplasty,내시경적 경막외강 신경성형술,경막외경 신경성형술,ok,오답,-,False,False,,
none,P067,relative scotoma,상대암점,상대 암점,ok,정답(대표),variant,True,True,,
none,P067,multiple adenomatous polyps,다발성 샘종성 폴립,다발성 선종성 용종,ok,오답,-,False,False,,
none,P068,solenopsis invicta,불개미,솔레놉시스 인빅타,ok,오답,-,False,False,,
none,P068,sheathed artery,집형성동맥,피막으로 덮인 동맥,ok,오답,-,False,False,,
none,P068,ureteroscopic,요도경검사에 의한,요관경적,ok,오답,-,False,False,,
none,P069,multidrug resistance,다약제내성,다제내성,ok,오답,-,False,False,,
none,P069,gonadoadvent,생식기능출현기,생식샘,ok,오답,-,False,False,,
none,P069,pa x-ray,치근단 방사선촬영,흉부 X 선 촬영,ok_nospace,오답,-,False,False,,
none,P070,physically handicapped,거동불편자,신체적 장애가 있는,ok,오답,-,False,False,,
none,P070,centrolecithal,중심난황-,중앙난황,ok,오답,-,False,False,,
none,P070,entire nasal septum,온코사이막,비중격 전반부,ok,오답,-,False,False,,
none,P071,posterior cordectomy,뒷쪽 성대 절제,후방 성대 절제술,ok,정답(동의어),partial,True,True,,
none,P071,intra-operative neurophysiologic testing,수술중 신경생리학적 검사,수술 중 신경생리검사,ok,오답,-,False,False,,
none,P072,enteropathic arthritis,창자질환성 관절염,장병성 관절염,ok,오답,-,False,False,,
none,P072,oncogene,종양유전자,종양유전자,ok,정답(대표),exact,True,True,,
none,P072,protein-losing enteropathy,단백질소실장병(증),단백 상실성 장병증,ok,오답,-,False,False,,
none,P073,urethrocutaneous fistula,요도피부샛길,요도피부루,ok,정답(동의어),variant,True,True,,
none,P073,anesthesiologist,마취과의사,마취과 의사,ok,정답(대표),variant,True,True,,
none,P073,old tuberculin,재래식투베르쿨린,구결핵균,ok,오답,-,False,False,,
none,P074,microsomia,작은몸증,미소증,ok,오답,-,False,False,,
none,P074,pericanalicular,소관주위-,관주위형,ok,오답,-,False,False,,
none,P074,penicillar arteriole,붓털세동맥,편모세동맥,ok,오답,-,False,False,,
none,P075,posttransplant lymphoproliferative disease,이식후림프세포증식병,이식후 림프증식성 질환,ok,오답,-,False,False,,
none,P075,epididymal duct,부고환관,부고환관,ok,정답(대표),exact,True,True,,
none,P075,urethrotomy,요도 절개,요도절개술,ok,정답(대표),partial,True,True,,
none,P076,inhalator,흡입기,흡입기,ok,정답(대표),exact,True,True,,
none,P076,omsk haemorrhagic fever,옴스크출혈열,옴스크 출혈열,ok,정답(대표),variant,True,True,,
none,P076,ramus of pubis,두덩뼈가지,치골 상지,ok,오답,-,False,False,,
none,P077,dry weight,투석목표체중,건체중,ok,오답,-,False,False,,
none,P077,macular holes,황반 원공,황반원공,ok,정답(대표),variant,True,True,,
none,P077,subpapillary arterial network,유두밑동맥그물,유두하 동맥망,ok,정답(동의어),variant,True,True,,
none,P078,syphilogen,매독원,매균원,ok,오답,-,False,False,,
none,P078,cardiodiaphragmatic angle,심장가로막각,심장횡격막각,ok,정답(동의어),exact,True,True,,
none,P078,ebonation,뼈조각제거,흑색화,ok,오답,-,False,False,,
none,P079,diving reflex,잠수반사,잠수 반사,ok,정답(대표),variant,True,True,,
none,P079,pungji,풍지(風池),풍지,ok,정답(대표),variant,True,True,,
none,P079,vertebro-basilar artery syndrome,척추-뇌기저동맥증후군,추골-기저동맥 증후군,ok,오답,-,False,False,,
none,P080,chest expiration,가슴 날숨촬영,호기,ok,오답,-,False,False,,
none,P080,rhinoantritis,코굴염,비부비동염,ok,정답(동의어),partial,True,True,,
none,P080,uremic convulsion,요독경련,요독성 경련,ok,오답,-,False,False,,
none,P081,cobblestone tongue,조약돌혀,둥근돌기 혀,ok,오답,-,False,False,,
none,P081,small-and light-for-dates,과소 및 과소체중아,소태아(small-for-dates) 및 저체중아(light-for-dates),ok,오답,-,False,False,,
none,P081,saliva viscosity test,타액 점조도 검사,타액 점도 검사,ok,오답,-,False,False,,
none,P082,progressive hemifacial atrophy,진행성 반쪽얼굴 위축,진행성 반측안면위축,ok,오답,-,False,False,,
none,P082,afterloading technique,후장진법,후장전(afterloading) 기법,ok,오답,-,False,False,,
none,P082,assess disimpaction,매복변제거 사정,,not_substring,미검출,-,False,False,,
none,P083,nodular fasciitis,결절 근막염,결절성 근막염,ok,오답,-,False,False,,
none,P083,zosteriform lentiginous nevus,띠모양흑(색)점모반,대상포진 모양 점소성 모반,ok,오답,-,False,False,,
none,P083,nodular prurigo,결절가려움발진,결절성 가려움증,ok,오답,-,False,False,,
none,P084,encephalopathy toxic,독성 뇌병증,독성 뇌병증,ok,정답(대표),exact,True,True,,
none,P084,medial nasal prominence,내측비융기,내측 비부 돌기,ok,오답,-,False,False,,
none,P084,anisometropic amblyopia,굴절부등약시,부동시 약시,ok,오답,-,False,False,,
none,P085,t-colectomy,횡행결장절제술,전결장절제술,ok,오답,-,False,False,,
none,P085,bone inlay,골내재,골 이식,ok,오답,-,False,False,,
none,P085,sequestrectomy of skull,머리뼈 부골 절제,두개골 사골절제술,ok,오답,-,False,False,,
none,P086,associated disorder,수반장애,연관 질환,ok,오답,-,False,False,,
none,P086,uncovertebral,갈고리돌기-,골성 후관절,ok,오답,-,False,False,,
none,P086,cholelithiasis,담석증,담석증,ok,정답(대표),exact,True,True,,
none,P087,meckel's imaging,메켈스 스캔,메켈(Meckel) 영상 검사,ok,오답,-,False,False,,
none,P087,arm-to-retina circulation time,팔망막순환시간,상완-망막 순환시간,ok,오답,-,False,False,,
none,P088,tubular reabsorption,요세관재흡수,세관 재흡수,ok,오답,-,False,False,,
none,P088,rothmund thomson syndrome,로트문드 톰슨 증후군,로트문트-톰슨 증후군,ok,오답,-,False,False,,
none,P088,muscle twitch,근육 경련,근육 경련,ok,정답(대표),exact,True,True,,
none,P089,bis in die,1일2회,하루 두 회,ok,오답,-,False,False,,
none,P089,abrasion of flank,옆구리 찰과상,측복부의 표재성 찰과상,ok,오답,-,False,False,,
none,P089,gustatory hyperesthesia,미각과민(증),미각 과민증,ok,정답(동의어),partial,True,True,,
none,P090,epidermolysis bullosa simplex,단순 수포성 표피박리증,단순형 수포성 표피박리증,ok,오답,-,False,False,,
none,P090,enteral feeding regime,경장 섭취 요법,장관영양 요법,ok,오답,-,False,False,,
none,P090,high quality-hcv ab,정밀면역검사-C형간염항체,고품질 HCV 항체 양성,ok,오답,-,False,False,,
none,P091,hepaticostomy,간관루설치(술),간담도조루술,ok,오답,-,False,False,,
none,P091,root pain,신경뿌리통증,신경근통,ok,오답,-,False,False,,
none,P091,parasympathetic nervous system,부교감신경계통,부교감신경계,ok,정답(동의어),exact,True,True,,
none,P092,x-ray illumination,X선필름판독대,엑스선 조명,ok,오답,-,False,False,,
none,P092,angioma cavernosum,해면혈관종,해면상혈관종,ok,오답,-,False,False,,
none,P092,cap crown,금관,모관관정,ok,오답,-,False,True,,
none,P093,coffin-siris syndrome,코핀-시리스 증후군,코핀-시리스 증후군,ok,정답(대표),exact,True,True,,
none,P093,working length distance,근관장측정검사,작업 길이,ok,오답,-,False,False,,
none,P093,uterine arteriography,복부및골반동맥조영-자궁동맥,자궁 동맥 조영술,ok,오답,-,False,False,,
none,P094,cirsophthalmia,결막정맥류,결막충혈,ok,오답,-,False,False,,
none,P094,interarytenoid notch,모뿔사이패임,윤상후두간 절흡,ok,오답,-,False,False,,
none,P094,hot bag,더운물 주머니,온찜질,ok,오답,-,False,False,,
none,P095,agenesis of lung,폐의 무발생,폐 무발생,ok,오답,-,False,False,,
none,P095,perform diversional care,전환간호 수행,전환 요법(diversional care)을 시행할 것이다,ok,오답,-,False,False,,
none,P095,opsin,옵신,옵신,ok,정답(대표),exact,True,True,,
none,P096,growth fever,변증,성장열,ok,오답,-,False,False,,
none,P096,scorbutic ulcer,괴혈병궤양,괴혈병성 궤양,ok,오답,-,False,False,,
none,P096,false neuroma,가성신경종,가성 신경종,ok,정답(대표),variant,True,True,,
none,P097,neoadjuvant chemotherapy,신보강화학요법,유도화학요법,ok,오답,-,False,False,,
none,P097,death,사,사망,ok,오답,-,False,True,,
none,P097,supraspinous,가시끝-,극상,ok,정답(동의어),variant,True,False,,
none,P098,functional ileus,기능창자막힘증,기능성 장마비,ok,오답,-,False,False,,
none,P098,endorectal pull-through operation,직장내 풀-스루식 수술,경직장 당겨내기 수술,ok,오답,-,False,False,,
none,P098,counterfeit disease,꾀병,가짜 질환,ok,오답,-,False,False,,
none,P099,micromovement,미세운동,미세한 움직임,ok,오답,-,False,False,,
none,P099,stenoxenous parasite,협숙주기생충,협숙주성 기생충,ok,오답,-,False,False,,
none,P099,surgical staging,외과적시기결정,수술적 병기 결정,ok,오답,-,False,False,,
none,P100,overdetermined idea,과잉결정관념,과도하게 굳은 관념,ok,오답,-,False,False,,
none,P100,hyperesophoria,상내사위,과내사시,ok,오답,-,False,False,,
none,P101,soryo,소료(素髎),소료,ok,정답(대표),variant,True,False,,
none,P101,endemic disease,풍토병,풍토병,ok,정답(대표),exact,True,True,,
none,P101,eurytrema pancreaticum,췌질,췌장확충,ok,오답,-,False,False,,
none,P102,rotational irradiation coach,회전방사선치료대,회전 조사 코치,ok,오답,-,False,False,,
none,P102,outbreed,무작위교배계,발현 빈도가 증가하는,ok,오답,-,False,False,,
none,P103,pharynx,인두,인두,ok,정답(대표),exact,True,True,,
none,P103,ctha and ctap,컴퓨터 단층촬영 간 동맥조영술과 컴퓨터 단층촬영 문맥조영술,CTHA 및 CTAP,ok,오답,-,False,False,,
none,P103,cyclamate,시클라메이트,사이클라메이트,ok,오답,-,False,False,,
none,P104,nuclear polyhedrosis virus,핵다면체형성바이러스,핵다면체바이러스,ok,오답,-,False,False,,
none,P104,platymorphia,편평안구,platymorphia,ok,오답,-,False,False,,
none,P104,square root sign,제곱근모양징후,제곱근 징후,ok,오답,-,False,False,,
none,P105,holy fire,에르고트중독증,성화,ok,오답,-,False,False,,
none,P105,hemeralopia,주간맹,명소증,ok,오답,-,False,False,,
none,P105,avulsion fracture,찢김 골절,견열 골절,ok,정답(동의어),variant,True,True,,
none,P106,salicylamide,살리실아마이드,살리실아마이드,ok,정답(대표),exact,True,True,,
none,P106,volume elasticity coefficient,용적탄력률,용적 탄성 계수,ok,오답,-,False,False,,
none,P106,lead gown,납가운,납 가운,ok,정답(대표),variant,True,True,,
none,P107,anthracosis,탄분증,탄저증,ok,오답,-,False,False,,
none,P107,proacrosomal granule,풋첨단체과립,전체세포 과립,ok,오답,-,False,False,,
none,P107,cromolyn,크로몰린,크로몰린,ok,정답(대표),exact,True,True,,
none,P108,diffusing capacity,확산능,폐확산능,ok,정답(대표),partial,True,True,,
