mode,en,rep,term,ko,grade,level,followed_decoy,decoy,issues,finish,sentence
none,infantile automatism,젖먹이자동증,유아적 자동증,의사의 문서는 유아적 자동증을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned infantile automatism.
none,oath of hippocrates,히포크라테스선서,히포크라테스 선서,의사의 문서는 히포크라테스 선서를 언급했다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned oath of hippocrates.
none,pubocapsular,두덩관절피막-,치골관절낭,의사의 문서에 치골관절낭이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned pubocapsular.
none,hemopleuropneumonic syndrome,혈액가슴막폐렴증후군,혈흉기흉폐렴 증후군,의사의 문서는 혈흉기흉폐렴 증후군을 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned hemopleuropneumonic syndrome.
none,rotational irradiation coach,회전방사선치료대,회전 조사 코치,의사의 문서에 회전 조사 코치가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned rotational irradiation coach.
none,airborne infection,공기매개감염,공기 감염,의사의 문서는 공기 감염을 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned airborne infection.
none,fistula of gallbladder,담낭의 누공,담낭루,이 보고서는 이 환자에서 담낭루를 기록했습니다.,오답,-,,,[],stop,The report documented fistula of gallbladder in this patient.
none,cardiac murmur,심잡음,심장 잡음,이 환자에게서 심장 잡음이 보고되었다.,오답,-,,,[],stop,The report documented cardiac murmur in this patient.
none,laryngopharyngitis,후두인두염,후두인두염,의사의 문서에 후두인두염이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned laryngopharyngitis.
none,gantry,갠트리,갠트리,의사의 문서에 갠트리가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned gantry.
none,hyperesophoria,상내사위,상사시,의사의 문서는 상사시를 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned hyperesophoria.
none,multicystic renal dysplasia,다낭성 신장의 형성이상,다낭성 신 이형성증,이 환자에서 다낭성 신 이형성증이 보고서에 문서화되었다.,오답,-,,,[],stop,The report documented multicystic renal dysplasia in this patient.
none,conn adenoma,콘 샘종,콘 선종,의사의 문서에 콘 선종이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned conn adenoma.
none,tinea manuum,손백선,수부백선,이 보고서는 이 환자에게 수부백선을 기록했습니다.,오답,-,,,[],stop,The report documented tinea manuum in this patient.
none,functional enuresis,기능성 유뇨증,기능성 야뇨증,이 보고서는 이 환자에게서 기능성 야뇨증을 문서화했습니다.,오답,-,,,[],stop,The report documented functional enuresis in this patient.
none,simple dressing,단순 처치,단순 드레싱,이 보고서는 이 환자의 단순 드레싱을 기록했습니다.,오답,-,,,[],stop,The report documented simple dressing in this patient.
none,first responder,일차반응자,최초 대응자,의사의 문서에 최초 대응자가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned first responder.
none,abdominal wall strained,배벽 긴장,복벽 긴장,의사의 문서에 복벽 긴장이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned abdominal wall strained.
none,activity grade,활동정도,활동 등급,의사의 문서에 활동 등급이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned activity grade.
none,goitrogenic,갑상샘종유발물질-,갑상선종 유발 물질,의사의 문서에 갑상선종 유발 물질이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned goitrogenic.
none,myelodysplastic syndromes,골수형성이상증후군,골수이형성증후군,보고서는 이 환자에게서 골수이형성증후군을 기록했습니다.,오답,-,,,[],stop,The report documented myelodysplastic syndromes in this patient.
none,gorei-san,오령산,고레이산,의사의 문서에 고레이산이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned gorei-san.
none,gallium scan,갈리움 스캔,갈륨 스캔,의사의 문서에 갈륨 스캔이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned gallium scan.
none,blind fistula,막힌샛길,맹루,의사의 문서에 맹루가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned blind fistula.
none,radioimmunoelectrophoresis,방사면역전기이동(법),방사면역전기영동법,의사의 문서에서 방사면역전기영동법이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned radioimmunoelectrophoresis.
none,dilation of rectum,곧창자 확장,직장의 확장,보고서는 이 환자에서 직장의 확장을 문서화했습니다.,오답,-,,,[],stop,The report documented dilation of rectum in this patient.
none,exteroceptive stimulus,외수용자극,외부 자극,의사의 문서는 외부 자극을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned exteroceptive stimulus.
none,atlas-axis spinal fusion,고리뼈-중쇠뼈 척추 유합,환축-축추 척추 융합,이 환자에서 환축-축추 척추 융합이 보고되었습니다.,오답,-,,,[],stop,The report documented atlas-axis spinal fusion in this patient.
none,qrs widened,큐알에스(QRS) 넓힘,qrs가 넓어졌다,의사의 문서에 qrs가 넓어졌다고 언급되어 있었습니다.,오답,-,,,['bad_chars'],stop,The doctor's document mentioned qrs widened.
none,esterapenia,에스테라아제감소,에스테라페니아,의사의 문서에 에스테라페니아가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned esterapenia.
none,major calyx,큰콩팥잔,대신(大腎盞),의사의 문서에 대신(大腎盞)이 언급되었다.,오답,-,,,['bad_chars'],stop,The doctor's document mentioned major calyx.
none,hodgkin disease,호지킨병,호지킨병,의사의 문서에 호지킨병이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned hodgkin disease.
none,flushing,홍조,플러싱,이 환자에게서 플러싱이 보고되었습니다.,오답,-,,,[],stop,The report documented flushing in this patient.
none,school childhood,학령기,학교 시절,의사의 서류에서는 학교 시절이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned school childhood.
none,abdominal palpable mass,복부 촉지성 종괴,복부 촉지 종괴,의사의 문서에 복부 촉지 종괴가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned abdominal palpable mass.
none,di guglielmo's disease,디구글리엘모병,디 구글리엘모병,이 보고서는 이 환자에서 디 구글리엘모병을 기록했습니다.,정답(대표),nospace,,,[],stop,The report documented di guglielmo's disease in this patient.
none,jisil,지실(志室),지실,의사의 문서에 지실이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned jisil.
none,ascending arm venography,상지-상행적상지정맥,상행성 팔 정맥조영술,이 환자에게 상행성 팔 정맥조영술이 시행되었습니다.,오답,-,,,[],stop,ascending arm venography was performed on this patient.
none,pa x-ray,치근단 방사선촬영,pa 엑스레이,의사의 문서에 pa 엑스레이가 언급되었습니다.,오답,-,,,['bad_chars'],stop,The doctor's document mentioned pa x-ray.
none,developmental retardation child,발달 부진아,발달 지연 아동,의사의 서류에서 발달 지연 아동이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned developmental retardation child.
none,digit preference,끝수선호,숫자 기호,의사의 문서에 숫자 기호가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned digit preference.
none,interferential action,간섭작용,간섭 작용,의사의 문서에 간섭 작용이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned interferential action.
none,vulvovaginal,음문질-,외음질,의사의 문서에 외음질이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned vulvovaginal.
none,induced malaria,접종말라리아,유도성 말라리아,의사의 문서가 유도성 말라리아를 언급했습니다.,오답,-,,,[],stop,The doctor's document mentioned induced malaria.
none,interfascicular graft,다발사이이식,束間移植,의사의 문서에束間移植이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned interfascicular graft.
none,oxyhydrocephalus,뾰족물머리증,수두증,의사의 문서에 수두증이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned oxyhydrocephalus.
none,guinea pig,기니피그,기니피그,의사의 문서에 기니피그가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned guinea pig.
none,patent medicine,특허약,약,의사의 문서는 약을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned patent medicine.
none,congruous field defect,일치시야결손,일치된 시야 결손,의사의 문서에 일치된 시야 결손이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned congruous field defect.
none,peritoneocentesis,복막천자,복막천자,의사의 문서에 복막천자가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned peritoneocentesis.
none,self-care deficit,자가간호결핍,자가간호 결핍,의사의 문서에 자가간호 결핍이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned self-care deficit.
none,autonomic bladder,자율방광,자율 방광,의사의 문서에 자율 방광이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned autonomic bladder.
none,dry arthritis,건성관절염,건성 관절염,의사의 문서에 건성 관절염이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned dry arthritis.
none,pharynx,인두,인두,의사의 문서에 인두가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned pharynx.
none,volume elasticity coefficient,용적탄력률,체적 탄성 계수,의사의 문서에 체적 탄성 계수가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned volume elasticity coefficient.
none,inverse-ratio ventilation,역비환기,역비율 환기,의사의 문서에 역비율 환기가 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned inverse-ratio ventilation.
none,cystitomy,수정체낭절개(술),방광절개술,의사의 문서에 방광절개술이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned cystitomy.
none,salicylamide,살리실아마이드,살리실아미드,의사의 문서에 살리실아미드가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned salicylamide.
none,hemoglobin c,헤모글로빈C,헤모글로빈 C,의사의 문서는 헤모글로빈 C를 언급했습니다.,정답(대표),nospace,,,['bad_chars'],stop,The doctor's document mentioned hemoglobin c.
none,z-plasty,Z성형(술),Z-성형술,이 환자에서 Z-성형술을 기록한 보고서가 있다.,오답,-,,,['bad_chars'],stop,The report documented z-plasty in this patient.
none,rash purpuric,자색반 발진,자반성 발진,의사의 문서에 자반성 발진이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned rash purpuric.
none,mamillitis,유두염,유두염,의사의 문서에 유두염이 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned mamillitis.
none,bird-shot chorioretinopathy,산탄맥락망막병(증),새알무늬 맥락망막병증,의사의 문서에 새알무늬 맥락망막병증이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned bird-shot chorioretinopathy.
none,diabetic coma,당뇨 혼수,당뇨병성 혼수,의사의 문서에 당뇨병성 혼수가 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned diabetic coma.
none,condensed chromatin,농축염색질,응축 염색질,의사의 문서에 응축 염색질이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned condensed chromatin.
none,genu valgum,외반슬,슬개골 외반,보고서는 이 환자의 슬개골 외반을 기록했다.,오답,-,,,[],stop,The report documented genu valgum in this patient.
none,revision septoplasty,교정 사이막성형술,재교정 비중격성형술,이 환자에서 재교정 비중격성형술이 보고되었습니다.,오답,-,,,[],stop,The report documented revision septoplasty in this patient.
none,naevus portwine,포도주색 모반,포트와인 모반,이 환자에게 포트와인 모반이 있다는 내용이 보고서에 기록되어 있었다.,오답,-,,,[],stop,The report documented naevus portwine in this patient.
none,glissade,글리사드,글리사드,의사의 문서에 글리사드가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned glissade.
none,psoas shadow,허리근음영,포소스 음영,의사의 문서에 포소스 음영이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned psoas shadow.
none,splenectomy,비장절제,비장절제술을,보고서는 이 환자에서 비장절제술을 기록했습니다.,오답,-,,,[],stop,The report documented splenectomy in this patient.
none,antimicrobial eye drop,항균안약,항균성 안약,의사의 문서에 항균성 안약이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned antimicrobial eye drop.
none,salpingography and plasty,난관조영촬영 및 개통술,난관조영술 및 성형술,이 환자에게 난관조영술 및 성형술이 시행되었습니다.,오답,-,,,[],stop,salpingography and plasty was performed on this patient.
none,clostridium histolyticum,클로스트리듐히스톨리티쿰,클로스트리듐 히스톨리티쿰,의사의 문서에 클로스트리듐 히스톨리티쿰이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned clostridium histolyticum.
none,anecdotal,증례서술적,일화적인 증거가,의사의 문서에 일화적인 증거가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned anecdotal.
none,tumor-specific antigen,종양특이항원,종양 특이 항원,의사의 문서에 종양 특이 항원이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned tumor-specific antigen.
none,schistocephalus,머리갈림태아,쉬스토케팔루스,의사의 문서에 쉬스토케팔루스가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned schistocephalus.
none,resecting fracture,깍임골절,골절 절제,의사의 문서는 골절 절제를 언급했다.,오답,-,,,[],stop,The doctor's document mentioned resecting fracture.
none,epidermophyton,표피사상균(속),에피더모피톤,의사의 문서에 에피더모피톤이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned epidermophyton.
none,microlymphatic graft,미세림프절이식,미세림프이식,의사의 문서에는 미세림프이식이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned microlymphatic graft.
none,cardiac pet-ct,심장 양전자방출단층촬영술,심장 pet-ct,보고서는 이 환자에서 심장 pet-ct를 기록했습니다.,오답,-,,,['bad_chars'],stop,The report documented cardiac pet-ct in this patient.
none,multidrug resistance,다약제내성,다약제 내성,의사의 문서에 다약제 내성이 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned multidrug resistance.
none,puerility,소아기,유치함,의사의 문서는 유치함을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned puerility.
none,enteropathic arthritis,창자질환성 관절염,장관절병,의사의 문서에 장관절병이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned enteropathic arthritis.
none,lobomycosis,로보진균증,로보미코증,보고서는 이 환자에게 로보미코증을 기록했다.,오답,-,,,[],stop,The report documented lobomycosis in this patient.
none,lamblial dysentery,람블편모충이질,람블리아 이질,의사의 문서에 람블리아 이질이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned lamblial dysentery.
none,ladder splint,사다리형덧대,사다리 부목,의사의 문서에 사다리 부목이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned ladder splint.
none,radiostrontium,방사성스트론튬,방사성 스트론튬,의사의 문서는 방사성 스트론튬을 언급했다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned radiostrontium.
none,deuterium,중수소,중수소,의사의 문서에 중수소가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned deuterium.
none,deforming dorsopathies,변형성 등병증,변형성 등병증,보고서는 이 환자의 변형성 등병증을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented deforming dorsopathies in this patient.
none,nonoperculated egg,무난개충란,비개란,의사의 문서에 비개란이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned nonoperculated egg.
none,holy fire,에르고트중독증,성스러운 불,의사의 문서에는 성스러운 불이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned holy fire.
none,sclerosing retroperitonitis,경화뒤배막염,경화성 후복막염,의사의 문서에 경화성 후복막염이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned sclerosing retroperitonitis.
none,bilaminar vitelline placenta,두겹난황태반,이층 황반 태반,의사의 문서에는 이층 황반 태반이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned bilaminar vitelline placenta.
none,dyskeratosis congenita,선천 이상각화증,선천성 이각화증,보고서는 이 환자에서 선천성 이각화증을 문서화했습니다.,오답,-,,,[],stop,The report documented dyskeratosis congenita in this patient.
none,flax-dresser disease,아마포착용자병,아마 삼질병,이 보고서는 이 환자의 아마 삼질병을 문서화했습니다.,오답,-,,,[],stop,The report documented flax-dresser disease in this patient.
none,bryant's traction,브리언트 당김,브라이언트 견인,보고서는 이 환자에서 브라이언트 견인을 문서화했다.,오답,-,,,[],stop,The report documented bryant's traction in this patient.
none,endemic disease,풍토병,풍토병,의사의 문서는 풍토병을 언급했다.,정답(대표),exact,,,[],stop,The doctor's document mentioned endemic disease.
none,annular nucleus,고리핵,고리핵,의사의 문서에 고리핵이 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned annular nucleus.
none,pseudoptosis,거짓눈꺼풀처짐,가성하수,이 보고서는 이 환자의 가성하수를 기록했다.,오답,-,,,[],stop,The report documented pseudoptosis in this patient.
none,throat pruritus,목구멍 가려움증,인두소양증,의사의 문서에 인두소양증이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned throat pruritus.
none,endoenteritis,창자점막염,내장염,의사의 문서에 내장염이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned endoenteritis.
none,deep mycosis,심재성 진균증,심부 진균증,보고서는 이 환자에서 심부 진균증을 기록했습니다.,오답,-,,,[],stop,The report documented deep mycosis in this patient.
none,hydrometra,물자궁증,수자궁,이 환자의 수자궁이 보고서에 기록되었다.,오답,-,,,[],stop,The report documented hydrometra in this patient.
none,osteochondroma,뼈연골종,골연골종,의사의 문서에 골연골종이 언급되었습니다.,정답(동의어),exact,,,[],stop,The doctor's document mentioned osteochondroma.
none,stratified randomization,층별무작위배정(법),층화 무작위 배정,의사의 문서에 층화 무작위 배정이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned stratified randomization.
none,corticobasal degeneration,겉질기저 변성,피질기저핵 변성,의사의 문서에서 피질기저핵 변성이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned corticobasal degeneration.
none,heart rate variability,심박변이도,심박수 변이도,의사의 문서에 심박수 변이도가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned heart rate variability.
none,intromission,삽입,삽입,의사의 문서에 삽입이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned intromission.
none,drug-induced,약물유발-,약물 유발성,의사의 문서에는 약물 유발성이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned drug-induced.
none,ossidesmosis,힘줄뼈되기,골유합,의사의 문서에 골유합이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned ossidesmosis.
none,binaural,양귀-,양이,의사의 문서에 양이가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned binaural.
none,extrachromosomal inheritance,염색체외유전,염색체 외 유전,의사의 문서는 염색체 외 유전을 언급했습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned extrachromosomal inheritance.
none,onychopathy,손발톱병(증),조갑질환,의사의 문서에 조갑질환이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned onychopathy.
none,ionometer,이온화선량계,이온계,의사의 문서에 이온계가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned ionometer.
none,double-barreled aorta,이중관대동맥,이중강대동맥,의사의 문서에 이중강대동맥이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned double-barreled aorta.
none,lipomelanotic reticulosis,지방흑색증성 세망증,지방흑색망상세포증,이 보고서는 이 환자에서 지방흑색망상세포증을 기록했습니다.,오답,-,,,[],stop,The report documented lipomelanotic reticulosis in this patient.
none,muscle twitch,근육 경련,근육 경련,의사의 문서에 근육 경련이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned muscle twitch.
none,psychosocial development,정신사회발달,심리사회적 발달,의사의 문서에 심리사회적 발달이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned psychosocial development.
none,ulcerlike nud,궤양성 비궤양성 소화불량,궤양양 결절,보고서는 이 환자에서 궤양양 결절을 기록했다.,오답,-,,,[],stop,The report documented ulcerlike nud in this patient.
none,nodular fasciitis,결절 근막염,결절성 근막염,보고서는 이 환자에서 결절성 근막염을 기록했습니다.,오답,-,,,[],stop,The report documented nodular fasciitis in this patient.
none,homogeneous,균일,균질,의사의 문서는 균질을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned homogeneous.
none,altered uterine contractions,자궁수축 변화,자궁 수축의 변화,의사의 문서에 자궁 수축의 변화가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned altered uterine contractions.
none,pyrexia during labour,출산중 발열,분만 중 발열,이 환자의 분만 중 발열을 보고서에 기록하였다.,오답,-,,,[],stop,The report documented pyrexia during labour in this patient.
none,a/s capsulectomy,관절경적 피막절제술,a/s 피막절제술,이 보고서는 이 환자에서 a/s 피막절제술을 기록했습니다.,오답,-,,,['bad_chars'],stop,The report documented a/s capsulectomy in this patient.
none,superexcitation,과도흥분,초흥분,의사의 문서에는 초흥분이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned superexcitation.
none,bony excrescence,뼈이상돌출,골성 돌기,의사의 문서에 골성 돌기가 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned bony excrescence.
none,coupling color,커플링염료,결합 색상,의사의 문서에 결합 색상이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned coupling color.
none,phlebitis and thrombophlebitis,정맥염 및 혈전정맥염,정맥염 및 혈전성 정맥염,보고서는 이 환자에서 정맥염 및 혈전성 정맥염을 문서화했습니다.,오답,-,,,[],stop,The report documented phlebitis and thrombophlebitis in this patient.
none,breath holding spell,숨참기발작,호흡 정지 발작,이 환자에서 호흡 정지 발작이 문서화되었다.,오답,-,,,[],stop,The report documented breath holding spell in this patient.
none,extroverted personality,외향인격,외향적 성격,의사의 서류에서 외향적 성격을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned extroverted personality.
none,enterotoxin,창자독소,장독소,의사의 문서에 장독소가 언급되었습니다.,정답(동의어),exact,,,[],stop,The doctor's document mentioned enterotoxin.
none,linear craniectomy,선상 머리뼈 절제,선형 두개절제술,이 환자에게 선형 두개절제술이 시행된 것으로 보고서에 기록되었다.,오답,-,,,[],stop,The report documented linear craniectomy in this patient.
none,diving reflex,잠수반사,잠수 반사,의사의 문서에 잠수 반사가 언급되었습니다.,정답(대표),nospace,,,[],stop,The doctor's document mentioned diving reflex.
