arm,en,pred,rep,grade,level,kcd,words,issues,finish
1c,linear craniectomy,선형 두개골 절제술,선상 머리뼈 절제,오답,-,,2,[],stop
1c,diving reflex,잠수반사,잠수반사,정답(대표),exact,,2,[],stop
1c,thymus,흉선,가슴샘,정답(동의어),exact,,1,[],stop
1c,pseudoepicanthus,가성내반속눈썹,거짓눈구석주름,오답,-,,1,[],stop
1c,in utero,자궁 내,자궁내,정답(대표),nospace,,2,[],stop
1c,epidermolysis bullosa dystrophica,영양성 수포성 표피박리증,디스트로피성 수포성 표피박리증,오답,-,Q81.2,3,[],stop
1c,functional ileus,기능적 장폐색,기능창자막힘증,오답,-,,2,[],stop
1c,colonic serosa,결장장막,잘록창자장막층,오답,-,,2,[],stop
1c,sideroblastic anaemia,철아구성 빈혈,철적혈모구빈혈,오답,-,D64.0-D64.3,2,[],stop
1c,prandial,식사,식사-,오답,-,,1,[],stop
1c,infanthood,영아기,영아기,정답(대표),exact,,1,[],stop
1c,rothmund thomson syndrome,로트문트-톰슨 증후군,로트문드 톰슨 증후군,오답,-,Q82.8,3,[],stop
1c,high quality-hcv ab,고품질-HCV 항체,정밀면역검사-C형간염항체,오답,-,,3,['bad_chars'],stop
1c,echo pulse,반향 펄스,초음파,오답,-,,2,[],stop
1c,intramuscular nerve stimulation,근육내 신경 자극,근육내신경자극치료,오답,-,,3,[],stop
1c,anisometropic amblyopia,부동시약시,굴절부등약시,오답,-,H53.01,2,[],stop
1c,traumatic sah,외상성 지주막하출혈,외상성 지주막하출혈,정답(대표),exact,S06.6,2,[],stop
1c,kakidrosis,한증,땀악취증,오답,-,L75.0,1,[],stop
1c,plate,판,평판,정답(동의어),exact,,1,[],stop
1c,paraspasm,연축,대칭성연축,오답,-,,1,[],stop
1c,mescaline,메스칼린,메스칼린,정답(대표),exact,,1,[],stop
1c,gangliectomy,신경절절제술,신경절절제(술),오답,-,,1,[],stop
1c,carpometacarpal joint structure,수장골 관절 구조물,손목손허리관절,오답,-,,3,[],stop
1c,cystica ureteritis,낭성 요관염,낭성 요관염,정답(대표),exact,N28.8,2,[],stop
1c,chemohormonal,화학호르몬,화학호르몬-,오답,-,,1,[],stop
1c,ancylostoma ceylanicum,세라니쿰구충,실론구충,오답,-,,2,[],stop
1c,milieu therapy,환경요법,환경 치료요법,오답,-,,2,[],stop
1c,evacuation of empyema,농흉 배액,축농 제거,오답,-,,3,[],stop
1c,triketohydrindene hydrate test,트리케토히드린덴 수화물 시험,닌히드린검사,오답,-,,3,[],stop
1c,conglutinogen activating factor,응집소 활성화 인자,교착원활성인자,오답,-,,3,[],stop
1c,dislocation of wrist,손목탈구,손목의 탈구,오답,-,S63.0,3,[],stop
1c,triple test,삼중검사,삼중검사,정답(대표),exact,,2,[],stop
1c,cogan's disease,코간병,코오간병,오답,-,H16.3,2,[],stop
1c,double bladder,중복방광,중복방광,정답(대표),exact,,2,[],stop
1c,derangement of patella,슬개골 장애,무릎뼈의 장애,오답,-,M22.0-M22.3,3,[],stop
1c,debanding,밴드 제거,밴드제거,정답(대표),nospace,,1,[],stop
1c,interarytenoid notch,후披裂間切痕,모뿔사이패임,오답,-,,2,[],stop
1c,lymphopoiesis,림프조혈,림프구형성,오답,-,,1,[],stop
1c,masticatory dysfunction,저작기능 장애,씹기 기능장애,오답,-,,2,[],stop
1c,suturing of wound,창상 봉합,창상봉합술,오답,-,,3,[],stop
1c,retaining harness,유지식 견갑골 고정대,장치유지,오답,-,,2,[],stop
1c,omsk haemorrhagic fever,옴스크 출혈열,옴스크출혈열,정답(대표),nospace,A98.1,3,[],stop
1c,dural avf,경막동정맥루,경막의 동정맥루,정답(동의어),exact,I67.1,2,[],stop
1c,hepatogram,간기능검사,간실질상,오답,-,,1,[],stop
1c,sacrococcygeal,천미골,엉치꼬리-,오답,-,,1,[],stop
1c,cercosporomycosis,세르코스포로미코시스,세르코스포라진균증,오답,-,,1,[],stop
1c,lipoid dermatoarthritis,지방성 피부관절염,리포이드피부관절염,오답,-,M14.3,2,[],stop
1c,instep island flap,족배도피판,안쪽발바닥섬피판,오답,-,,3,[],stop
1c,assessing waste service,폐기물 서비스 평가,쓰레기처리 능력 사정하기,오답,-,,3,[],stop
1c,affectivity,정동성,정동성,정답(대표),exact,,1,[],stop
1c,dry weight,건조체중,투석목표체중,오답,-,,2,[],stop
1c,spinal injuries,척추 손상,척수 손상,오답,-,,2,[],stop
1c,crossbite (anterior)(posterior),전방 및 후방 교차교합,맞물림이상(앞쪽)(뒤쪽),오답,-,K07.25,2,[],stop
1c,neuraxis,신경축,신경축,정답(대표),exact,,1,[],stop
1c,spleen qi deficiency,비기허,비기허,정답(대표),exact,U68.0,3,[],stop
1c,manage immobilizer care,부목 고정 관리,부동간호 관리,오답,-,,3,[],stop
1c,cervix dilatation,자궁경부 확장,자궁경부개대,오답,-,,2,[],stop
1c,poor sucking reflex,빨기 반사 저하,빨기 반사 어려움,오답,-,,3,[],stop
1c,high-tension pulse,긴장맥,고긴장맥박,오답,-,,2,[],stop
1c,sp crown setting,스프 관절 정복술,스테인레스금관 합착,오답,-,,3,[],stop
1c,epiduroscopic neuroplasty,경막외내시경신경성형술,내시경적 경막외강 신경성형술,오답,-,,2,[],stop
1c,bilharzial dysentery,주혈흡충 이질,방광주혈흡충이질,오답,-,,2,[],stop
1c,iodinated,요오드화,요오드표지-,오답,-,,1,[],stop
1c,bilateral palatine tonsils,양측 구개편도,양측 목구멍 편도,오답,-,,3,[],stop
1c,subpapillary arterial network,유두하 동맥망,유두밑동맥그물,정답(동의어),nospace,,3,[],stop
1c,entire trapezius muscle,전체 승모근,온등세모근,오답,-,,3,[],stop
1c,collagen fiber graft,콜라겐 섬유 이식편,교원 섬유 이식술,오답,-,,3,[],stop
1c,polymerism,중합체증,분절과다증,오답,-,,1,[],stop
1c,labilizer,안정화 장치,불안정제,오답,-,,1,[],stop
1c,hypotonus,저긴장증,근육긴장저하,오답,-,,1,[],stop
1c,melanidrosis,흑색한증,흑색땀증,오답,-,,1,[],stop
1c,allergenic serum,알레르겐 혈청,알레르기혈청,오답,-,,2,[],stop
1c,micromanipulation,미세조작,미세조작(술),오답,-,,1,[],stop
1c,endometrial stromal sarcoma,자궁내막간질육종,자궁내막버팀질육종,정답(동의어),exact,,3,[],stop
1c,cobblestone tongue,설거침설,조약돌혀,오답,-,,2,[],stop
1c,peritoneal cavity,복막강,배막안,오답,-,,2,[],stop
1c,chorea gravidarum,임신성 무도병,임신무도병,오답,-,,2,[],stop
1c,acrotrophodynia,말초혈관통증,말단영양통증,오답,-,,1,[],stop
1c,spondylopathy,척추병,척추병(증),오답,-,M45-M49,1,[],stop
1c,macrocephalus,대두증,큰머리증,정답(동의어),exact,Q04.5,1,[],stop
1c,saliva viscosity test,타액 점도 검사,타액 점조도 검사,오답,-,,3,[],stop
1c,revaccination,재접종,재접종,정답(대표),exact,,1,[],stop
1c,solenopsis invicta,붉은불개미,불개미,오답,-,,2,[],stop
1c,perfluorocarbon,퍼플루오로카본,과불화탄소,오답,-,,1,[],stop
1c,ardor,화열,작열감,오답,-,,1,[],stop
1c,transluminal coronary atherectomy,경혈관내 관동맥 죽상반절제술,내강경유 심장혈관 죽종절제,오답,-,,3,[],stop
1c,hemocytometry,혈구계산,혈구계수(법),오답,-,,1,[],stop
1c,membranous endometritis,막성 자궁내막염,막자궁내막염,오답,-,,2,[],stop
1c,juvenile chronic iridocyclitis,소년만성홍채모양체염,연소성 만성 홍채섬모체염,오답,-,H20.1,3,[],stop
1c,tufting enteropathy,장모증,터프팅장증,오답,-,P78.3,2,[],stop
1c,cross-face,횡안면,교차얼굴,오답,-,,1,[],stop
1c,diverticulitis oesophageal,식도염전증,식도 곁주머니염,오답,-,,2,[],stop
1c,medical care division,진료과,의료급여구분,오답,-,,3,[],stop
1c,muscle flap,근판막,근(육)판,오답,-,,2,[],stop
1c,distraction therapy,주의산만요법,골신장술,오답,-,,2,[],stop
1c,associated disorder,관련 질환,수반장애,오답,-,,2,[],stop
1c,gitelman syndrome,깔텔만 증후군,지텔만 증후군,오답,-,N15.8,2,[],stop
1c,positioned flap,위치판막,판막이동수술,오답,-,,2,[],stop
1c,esthiomene,음순비대증,만성 외음궤양,오답,-,A55,1,[],stop
1c,lcp disease,레그-칼베-페르테스병,넙다리뼈머리뼈끝뼈연골증,오답,-,,2,[],stop
1c,papilloma of cerviv,자궁경부 유두종,자궁경부의 유두종,오답,-,D26.0,3,[],stop
1c,steatocystoma,지방낭종,피지낭종,오답,-,,1,[],stop
1c,sialodochoplasty,관수술,침샘관성형(술),오답,-,,1,[],stop
1c,alert,명료,명료함,오답,-,,1,[],stop
1c,glucuronic acid,글루쿠론산,글루쿠론산,정답(대표),exact,,2,[],stop
1c,first-pass cardiac scan(resting),제1통과 심장스캔(안정시),일회통과심장스캔-안정상태,오답,-,,3,['bad_chars'],stop
1c,arthroplasty of foot,족부 관절성형술,발의 관절 성형,오답,-,,3,[],stop
1c,dromotropic,변력,전도영향성-,오답,-,,1,[],stop
1c,tibia vara,경골 내반증,내반경골,오답,-,M92.5,2,[],stop
1c,assessing grief,애도 평가,슬픔 사정하기,오답,-,,2,[],stop
1c,staphylococcus epidermidis,포도상구균 표피균,표피포도알균,오답,-,,2,[],stop
1c,proenzyme,효소원,풋효소,오답,-,,1,[],stop
1c,diffusing capacity,확산능,확산능,정답(대표),exact,,2,[],stop
1c,motor fiber,운동 섬유,운동신경섬유,정답(동의어),nospace,,2,[],stop
1c,parovarian cystoma,난관관낭종,난소위체낭,오답,-,Q50.4,2,[],stop
1c,nerve conduction study(head),신경전도검사(머리),신경전도검사(두부),오답,-,,3,['bad_chars'],stop
1c,inappropriate self disclosure,부적절한 자기노출,부적절한 자기 노출,정답(대표),nospace,,3,[],stop
1c,catatonic shizophrenia,긴장형 조현병,긴장형 정신분열병,정답(동의어),exact,F20.2,2,[],stop
1c,epilemmal termination,상피 종결,신경속막종말,오답,-,,2,[],stop
1c,dilation of intestine,장관 확장,창자 확장,오답,-,,3,[],stop
1c,sarcoma of lung,폐육종,폐 육종,정답(대표),nospace,C34.99,3,[],stop
1c,binder,붕대,결합체,오답,-,,1,[],stop
1c,ramicotomy,흉부교감신경절제술,신경분지절단(술),오답,-,,1,[],stop
1c,fetal cotyledon,태반소엽,태아쪽태반엽,오답,-,,2,[],stop
1c,multiple v-y plasties,다수 V-Y 성형술,V-Y 성형술,오답,-,,3,['bad_chars'],stop
1c,psychologist - rehabilitation,재활심리사,심리학자-재활,오답,-,,3,[],stop
1c,hemeralopia,주맹,주간맹,오답,-,H53.1,1,[],stop
1c,cortisol-binding globulin,코르티솔 결합 글로불린,코티솔결합글로불린,오답,-,,2,[],stop
1c,pyelic,신우의,콩팥깔때기-,오답,-,,1,[],stop
1c,facial nucleus,안면신경핵,얼굴신경핵,오답,-,,2,[],stop
1c,myitis,근염,근(육)염,오답,-,,1,[],stop
1c,synclonus,동성간대,동조근간대,오답,-,,1,[],stop
1c,graves' ophthalmopathy,그레이브스 안병증,그레이브스 눈병증,오답,-,E05.0&H06.2,2,[],stop
1c,talipes calcaneus,종근족,발끝들린휜발증,오답,-,,2,[],stop
1c,false neuroma,가신경종,가성신경종,오답,-,,2,[],stop
1c,hyperaldosteronism,고알도스테론증,고알도스테론증,정답(대표),exact,E26,1,[],stop
1c,blood tinged sputum,혈성 객담,혈액흔적가래,오답,-,,3,[],stop
1c,cold pack,냉찜질,찬물 주머니,오답,-,,2,[],stop
1c,cecocentral scotoma,맹장중심암점,주시점맹점암점,오답,-,,2,[],stop
1c,comparator,비교기,비교측정기,오답,-,,1,[],stop
1c,cirsophthalmia,정맥류성 안검종,결막정맥류,오답,-,,1,[],stop
1c,scleral necrosis/melt,공막괴사/융해,공막 괴사/ 융해,정답(대표),nospace,,2,[],stop
1c,deficient perineum,회음부 결손,회음결핍,오답,-,N81.8,2,[],stop
1c,aqueous fluid,방수,방수,정답(대표),exact,,2,[],stop
1c,intestinal polypectomy,장용종절제술,장 폴립 절제,오답,-,,2,[],stop
1c,prostatodynia,전체통증,전립샘통증,오답,-,N42.8,1,[],stop
1c,pungji,풍지,풍지(風池),오답,-,,1,[],stop
1c,vibratory auscultation,진동청진,진동청진,정답(대표),exact,,2,[],stop
1c,retrocedent gout,퇴행성 통풍,내공성통풍,오답,-,,2,[],stop
1c,mastadenitis,유선염,젖샘염,정답(동의어),exact,,1,[],stop
1c,bladder neck contracture,방광경부협착,방광목 위축,오답,-,N32.8,3,[],stop
1c,organoid tumor,종양 오가노이드,장기모양종양,오답,-,,2,[],stop
1c,oil red,오일 레드,오일레드,정답(대표),nospace,,2,[],stop
1c,t-colectomy,T-결장절제술,횡행결장절제술,오답,-,,1,['bad_chars'],stop
1c,ear probe,이경 프로브,귀꽂이,오답,-,,2,[],stop
1c,hereditary mutilating keratoma,유전성 파괴성 각종,유전절단각화종,오답,-,,3,[],stop
1c,plasmablastic lymphoma,플라스모블라스트 림프종,형질모세포성 림프종,오답,-,C83.3,2,[],stop
1c,grain itch,곡진증,곡물 소양증,오답,-,B88.0,2,[],stop
1c,video laryngoscopy,비디오 후두경검사,비디오후두경검사(법),오답,-,,2,[],stop
1c,intermetatarsal joint structure,중족골간 관절 구조물,발허리간관절조직,오답,-,,3,[],stop
1c,deceleration,감속,감속,정답(대표),exact,,1,[],stop
1c,alcohol swab,알코올 솜,알코올솜,정답(대표),nospace,,2,[],stop
1c,trichroism,삼색성,삼색상,오답,-,,1,[],stop
1c,thoracalgia,흉통,흉통,정답(대표),exact,,1,[],stop
1c,entire finger,전체 손가락,온손가락,오답,-,,2,[],stop
1c,tricephalus,두두아체,세머리태아,오답,-,,1,[],stop
1c,ant. uveitis,전방 포도막염,전방포도막염,정답(대표),nospace,H20.9,2,[],stop
1c,antivitamin,항비타민,항비타민물질,오답,-,,1,[],stop
1c,parathyroid tetany,부갑상선성 강직,부갑상선테타니,오답,-,E20.9,2,[],stop
1c,outbreed,이종교배,무작위교배계,오답,-,,1,[],stop
1c,biopsy of adenoid,아데노이드 생검,인두편도 생검,정답(동의어),exact,,3,[],stop
1c,lichen planus tropicus,편평태선열대,열대성 편평태선,오답,-,L43.3,3,[],stop
1c,hb-sc disease,헤모글로빈 SC병,헤모글로빈-SC병,오답,-,D57.2,2,['bad_chars'],stop
